azimuth_deg,horizon_elev_deg
35.30,9.4672
35.40,9.3961
35.50,9.3961
35.60,9.2726
35.70,9.2777
35.80,9.2735
35.90,9.2188
36.00,9.2188
36.10,9.2027
36.20,9.1763
36.30,9.1123
36.40,9.1444
36.50,9.1681
36.60,9.1681
36.70,9.2024
36.80,9.1940
36.90,9.2235
37.00,9.2586
37.10,9.2586
37.20,9.2805
37.30,9.3029
37.40,9.3736
37.50,9.3736
37.60,9.4446
37.70,9.5153
37.80,9.5153
37.90,9.5501
38.00,9.5548
38.10,9.5267
38.20,9.5830
38.30,9.6165
38.40,9.5714
38.50,9.5845
38.60,9.6360
38.70,9.7191
38.80,9.7191
38.90,9.7782
39.00,9.7918
39.10,9.8004
39.20,9.8451
39.30,9.8451
39.40,9.8334
39.50,9.8530
39.60,9.8530
39.70,9.8411
39.80,9.8527
39.90,9.8527
40.00,9.8083
40.10,9.7430
40.20,9.6900
40.30,9.6522
40.40,9.5843
40.50,9.5422
40.60,9.4446
40.70,9.4284
40.80,9.3142
40.90,9.3142
41.00,9.2412
41.10,9.1672
41.20,9.1623
41.30,9.0799
41.40,9.0716
41.50,9.0131
41.60,8.9943
41.70,8.8811
41.80,8.8811
41.90,8.8078
42.00,8.7831
42.10,8.7751
42.20,8.7282
42.30,8.6804
42.40,8.6680
42.50,8.6511
42.60,8.6228
42.70,8.6186
42.80,8.6111
42.90,8.5791
43.00,8.6286
43.10,8.6286
43.20,8.6322
43.30,8.6136
43.40,8.6627
43.50,8.6627
43.60,8.6736
43.70,8.6736
43.80,8.6657
43.90,8.6657
44.00,8.6537
44.10,8.6537
44.20,8.6270
44.30,8.6525
44.40,8.6830
44.50,8.6830
44.60,8.6341
44.70,8.6431
44.80,8.5694
44.90,8.6123
45.00,8.6123
45.10,8.5798
45.20,8.6003
45.30,8.5848
45.40,8.5861
45.50,8.5883
45.60,8.5616
45.70,8.6073
45.80,8.6073
45.90,8.6550
46.00,8.6550
46.10,8.7001
46.20,8.7001
46.30,8.7653
46.40,8.7653
46.50,8.7982
46.60,8.8738
46.70,8.9362
46.80,8.9854
46.90,9.0230
47.00,9.0959
47.10,9.1118
47.20,9.1672
47.30,9.2120
47.40,9.2402
47.50,9.2656
47.60,9.2769
47.70,9.3180
47.80,9.2989
47.90,9.3021
48.00,9.2813
48.10,9.2832
48.20,9.2754
48.30,9.2882
48.40,9.2882
48.50,9.2796
48.60,9.2796
48.70,9.2221
48.80,9.2221
48.90,9.1761
49.00,9.1960
49.10,9.1557
49.20,9.1678
49.30,9.1207
49.40,9.1207
49.50,9.1288
49.60,9.1644
49.70,9.1623
49.80,9.1440
49.90,9.1382
50.00,9.1682
50.10,9.1795
50.20,9.1802
50.30,9.1999
50.40,9.1878
50.50,9.1878
50.60,9.2126
50.70,9.2241
50.80,9.2496
50.90,9.2922
51.00,9.3116
51.10,9.3140
51.20,9.3182
51.30,9.3082
51.40,9.3814
51.50,9.3814
51.60,9.4515
51.70,9.4790
51.80,9.5202
51.90,9.5323
52.00,9.5323
52.10,9.5451
52.20,9.5599
52.30,9.6482
52.40,9.6482
52.50,9.7167
52.60,9.7167
52.70,9.7386
52.80,9.7591
52.90,9.7959
53.00,9.7991
53.10,9.8278
53.20,9.8134
53.30,9.8327
53.40,9.7888
53.50,9.7846
53.60,9.7340
53.70,9.7340
53.80,9.7444
53.90,9.7673
54.00,9.7907
54.10,9.7712
54.20,9.7726
54.30,9.7575
54.40,9.7967
54.50,9.8149
54.60,9.9052
54.70,9.9052
54.80,9.9193
54.90,10.0354
55.00,10.0354
55.10,10.0808
55.20,10.1510
55.30,10.1492
55.40,10.1902
55.50,10.1902
55.60,10.1984
55.70,10.2199
55.80,10.2036
55.90,10.2401
56.00,10.2854
56.10,10.3512
56.20,10.3512
56.30,10.4218
56.40,10.4470
56.50,10.4633
56.60,10.4633
56.70,10.4391
56.80,10.4512
56.90,10.4512
57.00,10.4412
57.10,10.4412
57.20,10.4125
57.30,10.4559
57.40,10.4568
57.50,10.4446
57.60,10.4446
57.70,10.4885
57.80,10.4885
57.90,10.4752
58.00,10.4715
58.10,10.4715
58.20,10.4931
58.30,10.4744
58.40,10.4916
58.50,10.4916
58.60,10.4999
58.70,10.4999
58.80,10.4570
58.90,10.4898
59.00,10.4040
59.10,10.4040
59.20,10.3896
59.30,10.2392
59.40,10.2392
59.50,10.0482
59.60,10.0130
59.70,9.9294
59.80,9.9126
59.90,9.7862
60.00,9.7862
60.10,9.6667
60.20,9.5418
60.30,9.5317
60.40,9.5317
60.50,9.5699
60.60,9.5732
60.70,9.6777
60.80,9.7265
