frame,heading_deg,fire_x,offset_deg
frame3_frame_0008.png,131.6103,255.0,-7.6931
frame3_frame_0009.png,142.4169,159.0,-18.4997
frame3_frame_0010.png,152.485,58.0,-28.5678
