azimuth_deg,horizon_elev_deg
35.30,6.3335
35.40,6.3335
35.50,6.3335
35.60,6.3896
35.70,6.3896
35.80,6.3896
35.90,6.3896
36.00,6.4013
36.10,6.4013
36.20,6.4013
36.30,6.3542
36.40,6.3582
36.50,6.3582
36.60,6.3582
36.70,6.3582
36.80,6.2581
36.90,6.3409
37.00,6.3409
37.10,6.3409
37.20,6.3409
37.30,6.3825
37.40,6.3893
37.50,6.3893
37.60,6.3893
37.70,6.4849
37.80,6.4849
37.90,6.4849
38.00,6.4849
38.10,6.4342
38.20,6.4342
38.30,6.4342
38.40,6.4342
38.50,6.4342
38.60,6.3993
38.70,6.5178
38.80,6.5178
38.90,6.5178
39.00,6.5178
39.10,6.4864
39.20,6.5770
39.30,6.5770
39.40,6.5770
39.50,6.5717
39.60,6.6862
39.70,6.6869
39.80,6.6869
39.90,6.6869
40.00,6.6869
40.10,6.7069
40.20,6.7473
40.30,6.7473
40.40,6.7473
40.50,6.7473
40.60,6.7473
40.70,6.8988
40.80,6.9836
40.90,6.9836
41.00,6.9836
41.10,7.0239
41.20,7.0239
41.30,7.1359
41.40,7.1654
41.50,7.1654
41.60,7.1654
41.70,7.1859
41.80,7.1859
41.90,7.2646
42.00,7.2646
42.10,7.2646
42.20,7.2646
42.30,7.3735
42.40,7.3735
42.50,7.3969
42.60,7.3969
42.70,7.3969
42.80,7.3861
42.90,7.3861
43.00,7.4886
43.10,7.4165
43.20,7.4991
43.30,7.5671
43.40,7.5671
43.50,7.5671
43.60,7.5671
43.70,7.5671
43.80,7.7458
43.90,7.7458
44.00,7.7458
44.10,7.7458
44.20,7.7458
44.30,7.8787
44.40,7.9782
44.50,7.9782
44.60,7.9782
44.70,7.9782
44.80,8.0989
44.90,8.0989
45.00,8.1118
45.10,8.1118
45.20,8.1118
45.30,8.2075
45.40,8.2075
45.50,8.2075
45.60,8.1978
45.70,8.2766
45.80,8.2999
45.90,8.2999
46.00,8.2999
46.10,8.2999
46.20,8.2999
46.30,8.4071
46.40,8.4071
46.50,8.4071
46.60,8.4356
46.70,8.4356
46.80,8.5478
46.90,8.5730
47.00,8.5730
47.10,8.6094
47.20,8.6094
47.30,8.6094
47.40,8.7844
47.50,8.7844
47.60,8.7844
47.70,8.7844
47.80,8.7844
47.90,8.9413
48.00,8.9420
48.10,8.9420
48.20,8.9420
48.30,8.9420
48.40,9.0848
48.50,9.0848
48.60,9.0855
48.70,9.0855
48.80,9.0855
48.90,9.0905
49.00,9.1068
49.10,9.1505
49.20,9.1725
49.30,9.1725
49.40,9.1725
49.50,9.1725
49.60,9.2462
49.70,9.2462
49.80,9.2636
49.90,9.2636
50.00,9.2636
50.10,9.4054
50.20,9.4101
50.30,9.4101
50.40,9.4717
50.50,9.4717
50.60,9.4717
50.70,9.4717
50.80,9.5434
50.90,9.5434
51.00,9.5639
51.10,9.5639
51.20,9.5639
51.30,9.6484
51.40,9.6030
51.50,9.6030
51.60,9.6069
51.70,9.6069
51.80,9.6069
51.90,9.6069
52.00,9.4619
52.10,9.4619
52.20,9.4937
52.30,9.4937
52.40,9.4937
52.50,9.4937
52.60,9.3335
52.70,9.3901
52.80,9.3901
52.90,9.4069
53.00,9.4069
53.10,9.4069
