azimuth_deg,horizon_elev_deg
35.30,6.4299
35.40,6.4299
35.50,6.4299
35.60,6.4299
35.70,6.3738
35.80,6.3738
35.90,6.3738
36.00,6.3738
36.10,6.3738
36.20,6.3554
36.30,6.3554
36.40,6.3554
36.50,6.3554
36.60,6.3944
36.70,6.3944
36.80,6.3293
36.90,6.3293
37.00,6.3293
37.10,6.4204
37.20,6.4204
37.30,6.4204
37.40,6.4204
37.50,6.4204
37.60,6.4204
37.70,6.4204
37.80,6.4204
37.90,6.4594
38.00,6.4594
38.10,6.4464
38.20,6.4464
38.30,6.4464
38.40,6.4813
38.50,6.4813
38.60,6.4464
38.70,6.4464
38.80,6.4464
38.90,6.5339
39.00,6.5339
39.10,6.5339
39.20,6.5339
39.30,6.6259
39.40,6.6259
39.50,6.6259
39.60,6.6259
39.70,6.6391
39.80,6.7431
39.90,6.7431
40.00,6.7431
40.10,6.7431
40.20,6.7431
40.30,6.7564
40.40,6.8095
40.50,6.8632
40.60,6.8632
40.70,6.8632
40.80,6.9312
40.90,6.9705
41.00,7.1352
41.10,7.1352
41.20,7.1352
41.30,7.1352
41.40,7.2168
41.50,7.2983
41.60,7.2983
41.70,7.2983
41.80,7.2983
41.90,7.3119
42.00,7.3119
42.10,7.2983
42.20,7.2983
42.30,7.2983
42.40,7.2439
42.50,7.2439
42.60,7.3863
42.70,7.3863
42.80,7.3863
42.90,7.3863
43.00,7.3863
43.10,7.5512
43.20,7.5649
43.30,7.5649
43.40,7.5698
43.50,7.6747
43.60,7.6747
43.70,7.6747
43.80,7.6747
43.90,7.8138
44.00,7.8668
44.10,7.8668
44.20,7.8668
44.30,7.8680
44.40,7.8680
44.50,8.0724
44.60,8.0724
44.70,8.0724
44.80,8.0724
44.90,8.0724
45.00,8.2367
45.10,8.2367
45.20,8.2470
45.30,8.2740
45.40,8.2740
45.50,8.3051
45.60,8.3051
45.70,8.3188
45.80,8.3188
45.90,8.3188
46.00,8.3735
46.10,8.3735
46.20,8.3735
46.30,8.3924
46.40,8.4632
46.50,8.4632
46.60,8.5239
46.70,8.5239
46.80,8.5308
46.90,8.6657
47.00,8.6657
47.10,8.7015
47.20,8.7015
47.30,8.7015
47.40,8.7015
47.50,8.8141
47.60,8.9471
47.70,8.9471
47.80,8.9471
47.90,8.9471
48.00,8.9471
48.10,9.1107
48.20,9.1107
48.30,9.1107
48.40,9.1107
48.50,9.1107
48.60,9.1112
48.70,9.1112
48.80,9.1112
48.90,9.1523
49.00,9.1523
49.10,9.1531
49.20,9.2229
49.30,9.2229
49.40,9.2229
49.50,9.2811
49.60,9.2811
49.70,9.3094
49.80,9.4552
49.90,9.4552
50.00,9.4552
50.10,9.4552
50.20,9.5902
50.30,9.5902
50.40,9.5902
50.50,9.5902
50.60,9.6046
50.70,9.6046
50.80,9.6480
50.90,9.6480
51.00,9.7433
51.10,9.7433
51.20,9.7433
51.30,9.7433
51.40,9.7140
51.50,9.7140
51.60,9.6700
51.70,9.6700
51.80,9.6700
51.90,9.7520
52.00,9.5821
52.10,9.5821
52.20,9.5738
52.30,9.5738
52.40,9.5738
52.50,9.6183
52.60,9.4846
52.70,9.4846
52.80,9.4846
52.90,9.4846
53.00,9.5010
53.10,9.5010
53.20,9.5010
53.30,9.4546
53.40,9.4546
53.50,9.4546
53.60,9.4546
53.70,9.4701
53.80,9.4701
53.90,9.3805
54.00,9.3805
54.10,9.3805
54.20,9.3805
54.30,9.3805
54.40,9.3655
54.50,9.3062
54.60,9.3062
54.70,9.3062
54.80,9.3062
54.90,9.3062
55.00,9.2602
55.10,9.2820
55.20,9.2820
55.30,9.3985
55.40,9.3985
55.50,9.3985
55.60,9.4201
55.70,9.4201
55.80,9.4201
55.90,9.5316
56.00,9.5982
56.10,9.5982
56.20,9.5982
56.30,9.5982
56.40,9.5982
56.50,9.5982
56.60,9.5721
56.70,9.5045
56.80,9.5045
56.90,9.5281
57.00,9.5281
57.10,9.5281
57.20,9.5552
57.30,9.5281
57.40,9.5795
57.50,9.6393
57.60,9.6393
57.70,9.6393
57.80,9.6393
57.90,9.6393
58.00,9.6393
58.10,9.6309
58.20,9.6309
58.30,9.7437
58.40,9.7437
58.50,9.7437
58.60,9.7437
58.70,9.7437
58.80,9.6219
58.90,9.6219
59.00,9.6219
59.10,9.6219
59.20,9.6219
59.30,9.6219
59.40,9.5697
59.50,9.5697
59.60,9.5697
59.70,9.5697
59.80,9.6304
59.90,9.6304
60.00,9.6304
60.10,9.6304
60.20,9.5596
60.30,9.5596
60.40,9.5672
60.50,9.5672
60.60,9.5672
60.70,9.6127
60.80,9.5950
60.90,9.5950
61.00,9.6031
61.10,9.6480
61.20,9.6480
61.30,9.6480
61.40,9.6480
61.50,9.6480
61.60,9.6480
61.70,9.6480
61.80,9.5852
61.90,9.5852
62.00,9.5852
62.10,9.5852
62.20,9.5852
62.30,9.5567
62.40,9.5312
62.50,9.5312
62.60,9.5312
62.70,9.5312
62.80,9.5312
62.90,9.4181
63.00,9.4181
63.10,9.4181
63.20,9.4181
63.30,9.4181
63.40,9.4593
63.50,9.4593
63.60,9.2941
63.70,9.2410
63.80,9.2410
63.90,9.2410
64.00,9.1714
64.10,9.1714
64.20,9.1346
64.30,9.1346
64.40,9.1346
64.50,9.1353
64.60,9.1353
64.70,9.1353
64.80,9.1533
64.90,9.1533
65.00,9.1533
65.10,9.1533
65.20,9.1533
65.30,9.1533
65.40,9.1533
65.50,9.0452
65.60,9.1353
65.70,9.1353
65.80,9.1353
65.90,9.1353
66.00,9.1353
66.10,8.9395
66.20,8.9395
66.30,8.9395
66.40,8.9395
66.50,8.9010
66.60,8.9010
66.70,8.8862
66.80,8.8862
66.90,8.8862
67.00,8.7927
67.10,8.7927
67.20,8.7927
67.30,8.7086
67.40,8.7086
67.50,8.7086
67.60,8.7086
67.70,8.6482
67.80,8.6482
67.90,8.6410
68.00,8.6410
68.10,8.6410
68.20,8.5940
68.30,8.5940
68.40,8.5940
68.50,8.5940
68.60,8.5217
68.70,8.5217
68.80,8.5217
68.90,8.5217
69.00,8.5217
69.10,8.5217
69.20,8.4940
69.30,8.4940
69.40,8.4494
69.50,8.4494
69.60,8.4494
69.70,8.4494
69.80,8.2734
69.90,8.2734
70.00,8.2734
70.10,8.1055
70.20,8.1100
70.30,8.1055
70.40,8.0525
70.50,8.0525
70.60,8.0525
70.70,7.9051
70.80,7.9051
70.90,7.9051
71.00,7.9051
71.10,7.9051
71.20,7.9051
71.30,7.7792
71.40,7.7792
71.50,7.7792
71.60,7.7033
71.70,7.7033
71.80,7.7033
71.90,7.9400
72.00,7.9400
72.10,7.9400
72.20,8.0800
72.30,8.0800
72.40,8.0800
72.50,8.2404
72.60,8.3881
72.70,8.3881
72.80,8.3881
72.90,8.6008
73.00,8.6008
73.10,8.6008
73.20,8.6008
73.30,8.6008
73.40,8.6008
73.50,8.7608
73.60,8.7608
73.70,8.7608
73.80,8.7608
73.90,8.7608
74.00,8.7608
74.10,8.7751
74.20,8.8807
74.30,9.0603
74.40,9.0603
74.50,9.0603
74.60,9.0603
74.70,9.0603
74.80,9.0614
74.90,9.0614
75.00,9.0614
75.10,9.1197
75.20,9.1197
75.30,9.1197
75.40,9.1577
75.50,9.1577
75.60,9.1577
75.70,9.1577
75.80,9.1577
75.90,9.1577
76.00,9.2347
76.10,9.2347
76.20,9.2347
76.30,9.2347
76.40,9.2347
76.50,9.4721
76.60,9.4721
76.70,9.4721
76.80,9.4721
76.90,9.4721
77.00,9.4721
77.10,9.4463
77.20,9.4463
77.30,9.4078
77.40,9.4078
77.50,9.4403
77.60,9.4403
77.70,9.4403
77.80,9.4403
77.90,9.4403
78.00,9.4403
78.10,9.3117
78.20,9.3117
78.30,9.3117
78.40,9.3117
78.50,9.3237
78.60,9.3237
78.70,9.3237
78.80,9.3237
78.90,9.3237
79.00,9.3237
79.10,9.3237
79.20,9.2867
79.30,9.2867
79.40,9.2867
79.50,9.2867
79.60,9.2867
79.70,9.2629
79.80,9.2629
79.90,9.1614
80.00,9.1614
80.10,9.1614
80.20,9.1614
80.30,9.1834
80.40,9.1834
80.50,9.1834
80.60,9.1834
80.70,9.1834
80.80,9.1834
80.90,9.1834
81.00,9.2454
81.10,9.2454
81.20,9.2454
81.30,9.2454
81.40,9.2454
81.50,9.2694
81.60,9.2694
81.70,9.2694
81.80,9.2694
81.90,9.2694
82.00,9.2694
82.10,9.2694
82.20,9.2483
82.30,9.2483
82.40,9.2483
82.50,9.2483
82.60,9.2483
82.70,9.2483
82.80,9.2483
82.90,9.1430
83.00,9.1430
83.10,9.1430
83.20,9.1430
83.30,9.1430
83.40,9.1430
83.50,8.9764
83.60,8.9532
83.70,8.9532
83.80,8.9532
83.90,8.9532
84.00,8.9532
84.10,8.9532
84.20,9.0165
84.30,9.0165
84.40,9.0165
84.50,9.0165
84.60,9.0165
84.70,9.0165
84.80,9.0165
84.90,8.8266
85.00,8.8266
85.10,8.8266
85.20,8.8266
85.30,8.8266
85.40,8.8266
85.50,8.6708
85.60,8.6708
85.70,8.6708
85.80,8.8000
85.90,8.8000
86.00,8.8000
86.10,8.6787
86.20,8.6493
86.30,8.6493
86.40,8.6493
86.50,8.6493
86.60,8.6493
86.70,8.6493
86.80,8.5308
86.90,8.4984
87.00,8.4984
87.10,8.4984
87.20,8.4984
87.30,8.4984
87.40,8.4984
87.50,8.4553
87.60,8.4553
87.70,8.4553
87.80,8.4553
87.90,8.4553
88.00,8.4553
88.10,8.4553
88.20,8.3989
88.30,8.3989
88.40,8.3989
88.50,8.3989
88.60,8.3989
88.70,8.3989
88.80,8.4428
88.90,8.4428
89.00,8.4428
89.10,8.4428
89.20,8.4428
89.30,8.4428
89.40,8.4428
89.50,8.2889
89.60,8.2889
89.70,8.2889
89.80,8.2889
89.90,8.2889
90.00,8.2889
90.10,8.2889
90.20,8.2229
90.30,8.2229
90.40,8.2229
90.50,8.2229
90.60,8.2229
90.70,8.2229
90.80,8.2229
90.90,8.2669
91.00,8.2669
91.10,8.2669
91.20,8.2669
91.30,8.2669
91.40,8.2669
91.50,8.2669
91.60,8.2279
91.70,8.1830
91.80,8.1830
91.90,8.1830
92.00,8.1830
92.10,8.1830
92.20,8.1830
92.30,8.1830
92.40,8.0483
92.50,8.0483
92.60,8.0483
92.70,8.0483
92.80,8.0483
92.90,8.0483
93.00,8.0483
93.10,7.8235
93.20,7.8235
93.30,7.8235
93.40,7.8235
93.50,7.8235
93.60,7.8235
93.70,7.8235
93.80,7.7975
93.90,7.8893
94.00,7.8893
94.10,7.8893
94.20,7.8893
94.30,7.8893
94.40,7.8893
94.50,7.8893
94.60,7.8205
94.70,7.8205
94.80,7.8205
94.90,7.8205
95.00,7.8205
95.10,7.8205
95.20,7.7746
95.30,7.6064
95.40,7.5678
95.50,7.5678
95.60,7.5678
95.70,7.5678
95.80,7.5678
95.90,7.5678
96.00,7.5908
96.10,7.5908
96.20,7.5908
96.30,7.5908
96.40,7.5908
96.50,7.5908
96.60,7.5908
96.70,7.5908
96.80,7.5219
96.90,7.5219
97.00,7.5219
97.10,7.5219
97.20,7.5219
97.30,7.5219
97.40,7.5219
97.50,7.3952
97.60,7.5125
97.70,7.5125
97.80,7.5125
97.90,7.5125
98.00,7.5125
98.10,7.5125
98.20,7.5125
98.30,7.5125
98.40,7.4656
98.50,7.4656
98.60,7.6226
98.70,7.6226
98.80,7.6226
98.90,7.6226
99.00,7.6226
99.10,7.6226
99.20,7.6226
99.30,7.6465
99.40,7.6465
99.50,7.6465
99.60,7.6465
99.70,7.6465
99.80,7.6465
99.90,7.6465
100.00,7.6465
100.10,7.5747
100.20,7.5747
100.30,7.4788
100.40,7.4788
100.50,7.4788
100.60,7.4788
100.70,7.4788
100.80,7.4788
100.90,7.3829
101.00,7.3829
101.10,7.3829
101.20,7.3829
101.30,7.3829
101.40,7.3829
101.50,7.3829
101.60,7.2390
101.70,7.2390
101.80,7.2390
101.90,7.2390
102.00,7.2390
102.10,7.2390
102.20,7.2390
102.30,7.2390
102.40,7.1741
102.50,7.1741
102.60,7.1741
102.70,7.1190
102.80,7.1190
102.90,7.1190
103.00,7.1190
103.10,7.1190
103.20,7.0269
103.30,7.0269
103.40,7.0269
103.50,6.8308
103.60,6.8308
103.70,6.8308
103.80,6.8308
103.90,6.8308
104.00,6.6339
104.10,6.6339
104.20,6.6339
104.30,6.3496
104.40,6.3496
104.50,6.3496
104.60,6.3496
104.70,6.3388
104.80,6.3388
104.90,6.3388
105.00,6.3388
105.10,5.9500
105.20,5.9500
105.30,5.9500
105.40,5.8709
105.50,5.8709
105.60,5.8709
105.70,5.8709
105.80,5.8709
105.90,5.5390
106.00,5.5390
106.10,5.4962
106.20,5.4329
106.30,5.3623
106.40,5.3623
106.50,5.3623
106.60,5.3542
106.70,5.3542
106.80,5.3542
106.90,5.1956
107.00,5.1022
107.10,5.1022
107.20,5.0634
107.30,5.0634
107.40,5.0634
107.50,5.0634
107.60,5.0634
107.70,5.0634
107.80,5.0634
107.90,4.6931
108.00,4.6931
108.10,4.6931
108.20,4.6931
108.30,4.6931
108.40,4.6931
108.50,4.6931
108.60,4.6931
108.70,4.3977
108.80,4.3977
108.90,4.3977
109.00,4.3977
109.10,4.3977
109.20,4.1367
109.30,4.1367
109.40,4.1367
109.50,4.1367
109.60,3.8929
109.70,3.8820
109.80,3.8820
109.90,3.8820
110.00,3.8820
110.10,3.7124
