frame,fire_x,fire_y,bearing_deg,elev_deg,range_m,lat,lon,terrain_alt_m
frame3_frame_0008.png,255.0,253.0,123.8801,-5.8032,2336.6,34.42782501,73.36901912,909.00
frame3_frame_0009.png,159.0,253.0,123.8331,-5.5527,2373.6,34.42764999,73.36937304,916.00
frame3_frame_0010.png,58.0,252.0,123.8037,-5.0370,2440.9,34.42731386,73.37000547,928.00
