frame,fire_x,fire_y,bearing_deg,elev_deg,range_m,lat,lon,terrain_alt_m,method
frame5_frame_0003.png,301.0,82.0,343.9016,5.9834,9350.0,34.51972521,73.31991191,2032.64,ridge_fallback
frame5_frame_0005.png,103.0,85.0,343.9023,5.8116,9350.0,34.51975037,73.31990440,2032.64,ridge_fallback
