frame,id,x,y,lat,lon,alt_m
frame4_frame_0006.png,gps_tetoli,164.69,299.76,34.53879280,73.00742980,1339.04000000
frame4_frame_0006.png,masjid_front,344.13,293.56,34.54000600,73.01199200,1305.79000000
frame4_frame_0006.png,masjid_top,289.59,292.39,34.54070800,73.01069400,1318.67000000
frame4_frame_0006.png,two_houses_masjidfront,374.04,319.36,34.53950000,73.01200600,1292.88000000
frame4_frame_0006.png,settlement_2ndlast,523.58,299.42,34.53955600,73.01756700,1261.38000000
frame4_frame_0006.png,settlement3rdlast,497.19,268.93,34.54116000,73.02003000,1300.82000000
frame4_frame_0006.png,2houses_settlementfront,427.40,283.59,34.54240000,73.01870000,1283.34000000
