frame,x,heading_deg,hfov_deg,alpha_deg,bearing_deg
frame4_frame_0009.png,443.14,75.031787,52.760104,10.151374,85.183161
frame4_frame_0011.png,237.42,93.373538,52.760104,-6.807702,86.565836
